ID_OfGrPart,Factor1,Factor2,Factor3,Factor4
1080418-144,0.40553330089326034,0.6624265941563079,-0.002635513158570746,-1.6827668262819422
1080418-154,0.889320072923279,1.1981406440919427,1.4862147935148775,1.8170369800519064
1080418-184,-4.568065092212371,-0.9115727742835831,-0.6799200625192549,-1.5641503967815618
1080419-108,0.5829914112445471,0.4601944354255567,-0.5537654791331167,0.8537956386423925
1080419-120,1.0412230696396312,-0.2021439132808903,-0.22248395026644283,1.5737830878960837
1080419-132,0.12742889040864464,-0.09765117750261555,-0.37188345318790633,-1.7911762396471347
1080419-153,0.4647308408645446,0.8019719568718124,1.537812164165525,1.2902468698291092
1080420-106,0.9439664420947962,0.7718259154370464,-1.1266229452631273,1.3494718420102922
1080420-142,0.7349386650139249,1.058437471504943,1.4725482391772666,0.0010799821506473559
1080420-167,0.5593530471430661,1.255326822070213,1.1450718452700763,-0.11943927434103344
1080420-169,0.6602340363037489,-0.9291453958356798,-0.32280431274021903,-1.185967553082469
1080421-143,0.39314865253043196,-0.22744618003815528,-0.40480551188764047,-0.03738489425256265
1080421-148,-1.3659623707448736,0.5205827754237986,-0.187748151347171,-1.198109464901511
1080421-188,-2.6625029908172313,-0.3181566321894071,0.9175815369624662,-2.3850339411756982
1080422-123,0.27804846949578793,-0.0027591810903781285,-1.5721367552504355,-1.0973005173874661
1080422-146,0.7703330131690144,-0.9665509282040845,-1.2627938082420271,0.24112838777655124
1080422-147,-0.4180949105991765,0.13931744944428728,-0.39646642927869347,-0.7125368210334652
1080423-107,0.9870419170209269,1.0839114159329932,0.9820586948252523,0.45055015541415194
1080423-115,0.5013825145824158,1.2686715127912045,1.4911928638518142,1.5321472420451836
1080423-180,0.5751592051706145,0.14044259636680376,0.7602323735542535,0.047599638037923706
